Day,Pm,BW29,Oo,Gm,BW37,BW58,Site
6/27/2016,1,0,0,0,0,0,CI
6/28/2016,0,0,0,1,0,0,CI
6/29/2016,1,0,0,1,0,0,CI
6/30/2016,0,0,0,0,0,0,CI
7/1/2016,0,0,0,0,0,0,CI
7/2/2016,1,0,0,0,0,0,CI
7/3/2016,1,0,0,0,0,0,CI
7/4/2016,1,0,0,0,0,0,CI
7/5/2016,0,0,0,0,0,0,CI
7/6/2016,0,0,0,1,0,0,CI
7/7/2016,0,0,0,0,0,0,CI
7/8/2016,1,0,0,0,0,0,CI
7/9/2016,1,0,0,0,0,0,CI
7/10/2016,1,0,0,0,0,0,CI
7/11/2016,0,0,0,0,0,0,CI
7/12/2016,1,0,0,0,0,0,CI
7/13/2016,1,0,0,0,0,0,CI
7/14/2016,1,0,0,0,0,0,CI
7/15/2016,1,0,0,0,0,0,CI
7/16/2016,1,0,0,0,0,0,CI
7/17/2016,1,0,1,0,0,0,CI
7/18/2016,1,0,0,1,0,0,CI
7/19/2016,0,0,0,0,0,0,CI
7/20/2016,1,0,0,0,0,0,CI
7/21/2016,1,0,0,1,0,0,CI
7/22/2016,1,0,0,1,0,0,CI
7/23/2016,1,0,0,0,0,0,CI
7/24/2016,1,0,0,0,0,0,CI
7/25/2016,0,0,0,0,0,0,CI
7/26/2016,1,0,0,0,0,0,CI
7/27/2016,1,0,0,0,0,0,CI
7/28/2016,0,0,0,0,0,0,CI
7/29/2016,0,0,0,0,0,0,CI
7/30/2016,0,0,0,0,0,0,CI
7/31/2016,0,0,0,0,0,0,CI
8/1/2016,0,0,0,0,0,0,CI
8/2/2016,1,0,0,0,0,0,CI
8/3/2016,1,0,0,0,0,0,CI
8/4/2016,0,0,0,0,0,0,CI
8/5/2016,0,0,0,0,0,0,CI
8/6/2016,1,0,0,1,0,0,CI
8/7/2016,1,0,0,0,0,0,CI
8/8/2016,1,1,0,1,0,0,CI
8/9/2016,0,0,0,0,0,0,CI
8/10/2016,0,0,0,0,0,0,CI
8/11/2016,1,0,0,1,0,0,CI
8/12/2016,1,0,0,0,0,0,CI
8/13/2016,0,0,0,0,0,0,CI
8/14/2016,0,0,0,0,0,0,CI
8/15/2016,1,0,0,0,0,0,CI
8/16/2016,1,0,0,0,0,0,CI
8/17/2016,1,0,0,0,0,0,CI
8/18/2016,1,0,1,0,0,0,CI
8/19/2016,1,0,1,0,0,0,CI
8/20/2016,1,0,1,0,0,0,CI
8/21/2016,1,0,0,0,0,0,CI
8/22/2016,1,0,0,0,0,0,CI
8/23/2016,1,0,0,0,0,0,CI
8/24/2016,0,0,0,0,0,0,CI
8/25/2016,0,0,0,0,0,0,CI
8/26/2016,1,0,1,0,0,0,CI
8/27/2016,0,0,0,0,0,0,CI
8/28/2016,1,0,0,0,0,0,CI
8/29/2016,1,0,0,0,0,0,CI
8/30/2016,1,0,0,0,0,0,CI
8/31/2016,1,0,0,0,0,0,CI
9/1/2016,1,0,1,0,0,0,CI
9/2/2016,1,0,1,0,0,0,CI
9/3/2016,1,0,0,0,0,0,CI
9/4/2016,1,0,0,0,0,0,CI
9/5/2016,1,0,0,0,0,0,CI
9/6/2016,1,0,0,0,0,0,CI
9/7/2016,1,0,0,1,0,0,CI
9/8/2016,1,0,0,0,0,0,CI
9/9/2016,1,0,0,0,0,0,CI
9/10/2016,1,0,0,1,0,0,CI
9/11/2016,0,0,0,0,0,0,CI
9/12/2016,0,0,0,0,0,0,CI
9/13/2016,0,0,0,0,0,0,CI
9/14/2016,0,0,0,0,0,0,CI
9/15/2016,1,0,0,0,0,0,CI
9/16/2016,0,0,0,0,0,0,CI
9/17/2016,1,0,0,0,0,0,CI
9/18/2016,1,0,0,0,0,0,CI
9/19/2016,0,0,0,0,0,0,CI
9/20/2016,0,0,0,1,0,0,CI
9/21/2016,1,0,0,0,0,0,CI
9/22/2016,0,0,0,0,0,0,CI
9/23/2016,1,0,0,0,0,0,CI
9/24/2016,1,0,0,0,0,0,CI
9/25/2016,0,0,0,0,0,0,CI
