year,month,day,aao_index_cdas
2000,11,29,-2.060213088989258
2000,11,30,-1.7945607900619507
2000,12,1,-1.5311261415481567
2000,12,2,-1.1496888399124146
2000,12,3,-0.8867790102958679
2000,12,4,-0.6145109534263611
2000,12,5,-0.4350208640098572
2000,12,6,-0.5844010710716248
2000,12,7,-0.7850666046142578
2000,12,8,-0.9152339100837708
2000,12,9,-0.8920189738273621
2000,12,10,-1.0938471555709839
2000,12,11,-1.5826225280761719
2000,12,12,-1.9365894794464111
2000,12,13,-1.9563242197036743
2000,12,14,-1.5692683458328247
2000,12,15,-0.7622824907302856
2000,12,16,-0.5106445550918579
2000,12,17,-0.6719760298728943
2000,12,18,-0.9376747012138367
2000,12,19,-0.8622144460678101
2000,12,20,-0.42231592535972595
2000,12,21,-0.10175742954015732
2000,12,22,-0.264782190322876
2000,12,23,-0.8919146060943604
2000,12,24,-1.7012962102890015
2000,12,25,-2.3776285648345947
2000,12,26,-2.5263595581054688
2000,12,27,-2.4776759147644043
2000,12,28,-2.786268949508667
2000,12,29,-2.4587485790252686
2000,12,30,-1.698613166809082
2000,12,31,-1.2598844766616821
2001,1,1,-1.9565192461013794
2001,1,2,-2.0213239192962646
2001,1,3,-2.004031181335449
2001,1,4,-1.5948611497879028
2001,1,5,-1.3808547258377075
2001,1,6,-1.3062255382537842
2001,1,7,-1.141533613204956
2001,1,8,-0.5772022604942322
2001,1,9,-0.5857895016670227
2001,1,10,-0.6765141487121582
2001,1,11,-1.0808855295181274
2001,1,12,-1.0874918699264526
2001,1,13,-0.5408885478973389
2001,1,14,-0.15139195322990417
2001,1,15,-0.05386564880609512
2001,1,16,0.18415872752666473
2001,1,17,0.17565174400806427
2001,1,18,0.1449974775314331
2001,1,19,0.7436819076538086
2001,1,20,0.6442931294441223
2001,1,21,0.25162041187286377
2001,1,22,0.21476145088672638
2001,1,23,-0.021928735077381134
2001,1,24,0.1961108297109604
2001,1,25,0.37716177105903625
2001,1,26,0.5513556003570557
2001,1,27,0.5772538781166077
2001,1,28,0.19885151088237762
2001,1,29,-0.23055195808410645
2001,1,30,-0.7341999411582947
2001,1,31,-1.2670774459838867
2001,2,1,-0.8176913261413574
2001,2,2,-0.5901735424995422
2001,2,3,-0.5436446666717529
2001,2,4,-0.595644474029541
2001,2,5,-0.6540648341178894
2001,2,6,-0.7349027395248413
2001,2,7,-0.4550324082374573
2001,2,8,-0.015082309953868389
2001,2,9,0.5005622506141663
2001,2,10,0.5657944083213806
2001,2,11,0.7562609314918518
2001,2,12,1.0140732526779175
2001,2,13,1.1169064044952393
2001,2,14,1.1825181245803833
2001,2,15,1.277154564857483
2001,2,16,1.1602418422698975
2001,2,17,0.8516099452972412
2001,2,18,0.28943103551864624
2001,2,19,0.26067811250686646
2001,2,20,0.22419379651546478
2001,2,21,-0.6091693043708801
2001,2,22,-1.7695417404174805
2001,2,23,-2.3420586585998535
2001,2,24,-2.294325351715088
2001,2,25,-2.2773935794830322
2001,2,26,-1.5289360284805298
2001,2,27,-0.9793267250061035
2001,2,28,-0.21307821571826935
2001,3,1,-0.39187362790107727
2001,3,2,-0.6765148043632507
2001,3,3,-1.2852121591567993
2001,3,4,-1.7851266860961914
2001,3,5,-1.85530424118042
2001,3,6,-1.7945469617843628
2001,3,7,-1.5460423231124878
2001,3,8,-1.1146320104599
2001,3,9,-0.5778242945671082
2001,3,10,0.43922385573387146
2001,3,11,1.5041488409042358
2001,3,12,1.8805577754974365
2001,3,13,1.4819819927215576
2001,3,14,0.6971963047981262
2001,3,15,0.198486790060997
2001,3,16,0.12558992207050323
2001,3,17,-0.12367858737707138
2001,3,18,-0.41679877042770386
2001,3,19,-0.4335319697856903
2001,3,20,-0.5620667338371277
2001,3,21,-0.9941250681877136
2001,3,22,-1.7440876960754395
2001,3,23,-2.329524278640747
2001,3,24,-2.6623945236206055
2001,3,25,-2.5206105709075928
2001,3,26,-1.5173999071121216
2001,3,27,-0.4179140627384186
2001,3,28,0.18889079988002777
2001,3,29,0.33708155155181885
2001,3,30,0.45474478602409363
2001,3,31,0.782541036605835
2001,4,1,0.10910990834236145
2001,4,2,-0.5167427659034729
2001,4,3,-0.6465251445770264
2001,4,4,-0.791035532951355
2001,4,5,-0.4981484115123749
2001,4,6,-0.05902871489524841
2001,4,7,-0.04672078788280487
2001,4,8,-0.5054547786712646
2001,4,9,-0.7782611846923828
2001,4,10,-0.37191030383110046
2001,4,11,0.6711463332176208
2001,4,12,1.0258450508117676
2001,4,13,1.332075595855713
2001,4,14,1.8981504440307617
2001,4,15,1.7013517618179321
2001,4,16,1.4182848930358887
2001,4,17,1.146569848060608
2001,4,18,0.8733714818954468
2001,4,19,0.6222243905067444
2001,4,20,1.0248337984085083
2001,4,21,1.2946012020111084
2001,4,22,0.9655852913856506
2001,4,23,0.8089259266853333
2001,4,24,0.23514507710933685
2001,4,25,-0.5599120259284973
2001,4,26,-0.5379491448402405
2001,4,27,0.43448084592819214
2001,4,28,1.6160708665847778
2001,4,29,1.6847280263900757
2001,4,30,1.2701176404953003
2001,5,1,1.4467902183532715
2001,5,2,1.6854729652404785
2001,5,3,1.781114935874939
2001,5,4,1.5606719255447388
2001,5,5,0.8135998845100403
2001,5,6,0.12879779934883118
2001,5,7,-0.3588455319404602
2001,5,8,-0.7915775179862976
2001,5,9,-0.770281970500946
2001,5,10,-0.4401262402534485
2001,5,11,-0.3169119954109192
2001,5,12,0.09376253932714462
2001,5,13,0.4106873869895935
2001,5,14,0.37784919142723083
2001,5,15,0.2584419250488281
2001,5,16,0.6769819259643555
