"date","lon.x","lat.x","chla","o2","productivity","distance_km.x","lon.y","lat.y","temp","ssh","u","v","salinity","mixed_layer","distance_km.y","EKE"
2010-01-01,-57.9333333333333,-61.4166666666667,0.681944044431051,357.655565388997,14.390699450175,39.726367998394,-57.9321497523652,-61.4597273759239,1.25018662841696,-1.60662742440862,0.0451421529418768,0.0474092423691785,34.0401158153563,10.7354022112108,39.5648574702353,31.7332851024096
2010-01-02,-57.9333333333333,-61.4166666666667,0.642287812630336,357.898327636719,13.8233901023865,39.726367998394,-57.9321497523652,-61.4597273759239,1.49203365234504,-1.6081705581873,0.0483638063017139,0.032877383781667,34.0420146597955,10.5793676232933,39.5648574702353,29.7960333130618
2010-01-03,-57.9333333333333,-61.4166666666667,0.629757416248321,357.162772623698,12.2835355122884,39.726367998394,-57.9321497523652,-61.4597273759239,1.27315123368027,-1.60302486186637,0.059322934373653,-0.00545202832865088,34.0415500124594,10.9545389297313,39.5648574702353,33.6743102970099
2010-01-04,-57.9333333333333,-61.4166666666667,0.70196538468202,354.729114786784,7.26133955319723,39.726367998394,-57.9321497523652,-61.4597273759239,0.912196661968876,-1.61434768734122,0.0776179774727364,-0.0324712351692798,34.0282353996334,20.972871446968,39.5648574702353,40.419049362509
2010-01-05,-57.9333333333333,-61.4166666666667,0.664513244231542,351.318441772461,10.0872789700826,39.726367998394,-57.9321497523652,-61.4597273759239,0.748773484189708,-1.62228250682802,0.00888249217847684,-0.0187126649893764,34.022343900867,28.7206722919206,39.5648574702353,86.84217410896
2010-01-06,-57.9333333333333,-61.4166666666667,0.61512962281704,349.247602335612,10.3510508855184,39.726367998394,-57.9321497523652,-61.4597273759239,0.670872811144008,-1.62152642280536,0.00607387166946454,0.0145869296940422,34.0238696937274,33.3529462455807,39.5648574702353,74.7630460104258
2010-01-07,-57.9333333333333,-61.4166666666667,0.575077286362648,348.544770304362,9.86326820055644,39.726367998394,-57.9321497523652,-61.4597273759239,0.743751009155933,-1.61782748313775,0.017457504959819,0.0575537784515243,34.0236057625677,27.3714329640668,39.5648574702353,58.4518037389497
2010-01-08,-57.9333333333333,-61.4166666666667,0.539875887831052,348.06780090332,9.49874567985535,39.726367998394,-57.9321497523652,-61.4597273759239,0.814621871239261,-1.61380271893695,0.00904311575835809,0.0268746452280005,34.0205023916144,25.5340120344234,39.5648574702353,68.4119324134131
2010-01-09,-57.9333333333333,-61.4166666666667,0.512274007002513,347.164010620117,9.21021178563436,39.726367998394,-57.9321497523652,-61.4597273759239,0.802550309694799,-1.60925247346548,-0.00258833651703999,0.0163560853780884,34.0157181015588,30.2569236360995,39.5648574702353,84.9107579352815
2010-01-10,-57.9333333333333,-61.4166666666667,0.486866088708242,346.372012329102,9.05683115323385,39.726367998394,-57.9321497523652,-61.4597273759239,0.885762583044239,-1.60613637804089,0.00430012691794033,0.0431068210365405,34.0107445107367,25.3510157040187,39.5648574702353,72.5329953890053
2010-01-11,-57.9333333333333,-61.4166666666667,0.471155715982119,346.275165812174,8.94172690709432,39.726367998394,-57.9321497523652,-61.4597273759239,1.01308121537804,-1.61094820633867,0.0393069217583739,0.0327465901837537,34.0055415504857,20.0917354382967,39.5648574702353,37.1381810938983
