"","date","depth","chla_mean","chla_sd","o2_mean","o2_sd","productivity_mean","productivity_sd","ssh_mean","ssh_sd","n_velocity_mean","n_velocity_mad","e_velocity_mean","e_velocity_mad","salinity_mean","salinity_sd","mixed_layer_mean","mixed_layer_sd","sice_conc_mean","ice_conc_sd","sice_thick_mean","sice_e_veloc_mean","sice_n_veloc_mean","temp_mean","temp_sd","EKE_mean","EKE_mad","Site"
"1",2014-03-05,0.5,0.942713091770808,0.316360490087791,342.190424601237,1.94685899753149,10.264737089475,3.42638743012706,-1.64388605356216,0.0241260361312777,0.00823127752436059,0.114926724951714,0.0267952514014074,0.102710107344389,33.9650083814348,0.16629279645548,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,1.01561503452914,0.0784039772684759,57.6138516860896,1.10246930978674,"EI"
"2",2014-03-05,11,0.943489104509354,0.314297778903002,342.30881245931,1.95671142269208,10.2948430379232,3.40466384160675,-1.64388605356216,0.0241260361312777,0.0332869745524866,0.116736594635993,0.00950869569288833,0.100900232136995,33.9688232149397,0.16331461284136,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,1.01338107500757,0.0795458169222415,40.7986874870956,0.906195713352816,"EI"
"3",2014-03-05,16,0.943141892552376,0.313304212674016,342.321673075358,1.95318203992168,10.3055388530095,3.39324697159735,-1.64388605356216,0.0241260361312777,0.0341188089949065,0.112664387846366,0.00562602108803348,0.103615036663413,33.9758917214214,0.155739388476684,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,1.00909188130628,0.0775347568526221,41.8335035170281,1.40321151829327,"EI"
"4",2014-03-05,67,0.163586475575964,0.0361139366511019,319.424339294434,11.9608478200614,0.0363221934530884,0.0266184356666486,-1.64388605356216,0.0241260361312777,0.0228472665290941,0.10542490910925,-0.0060805817783782,0.102710107344389,34.1539462118438,0.0462692274059474,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,0.700147336066672,0.172221383318684,41.5975550888637,3.6677691062653,"EI"
"5",2014-03-05,375,0.0240448796086841,0.00547249124587602,265.278338962131,13.1783273831973,0,0,-1.64388605356216,0.0241260361312777,0.0121897971257567,0.0913984190560877,-0.0430897873683045,0.112211920425296,34.6495996988737,0.028802807254731,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,1.28747499161042,0.511131329154511,40.1622189704678,3.40970455761109,"EI"
"6",2014-03-05,455,0.0171739740504159,0.00304538011001581,250.939276801215,8.66366861618105,0,0,-1.64388605356216,0.0241260361312777,0.00941541311469409,0.0886836145296693,-0.0482494607936628,0.109497115898877,34.6711563639121,0.0257798828215528,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,1.25287578218054,0.462521174065599,36.3520592265696,3.13833624878746,"EI"
"7",2014-03-05,635,0.01021817067845,0.00085797053086184,231.228196885851,2.83635706101739,0,0,-1.64388605356216,0.0241260361312777,0.00433617166709155,0.0814441385541111,-0.0704659659725924,0.126238410478458,34.695222735405,0.0212468024977311,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,1.05494859457637,0.407557637721099,29.7560444990836,3.84612794673733,"EI"
"8",2014-03-05,768,0.00705240370007232,0.000627780821877306,219.801156997681,2.05306901975681,0,0,-1.64388605356216,0.0241260361312777,0.00200277687205623,0.0714898525290191,-0.0855535557105516,0.135287758899853,34.6965104738871,0.0175186863571379,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,0.899945081832508,0.379945072309669,26.1026786388683,4.55289962690436,"EI"
"9",2014-03-05,920,0.00616825325414538,0.000266260422482666,216.040216445923,0.691502589454834,0,0,-1.64388605356216,0.0241260361312777,0.000853205600412943,0.0732997222132981,-0.104333924309861,0.155648798371106,34.6966421065792,0.0150158924513728,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,0.752500810930806,0.346075032013437,23.7213022820494,3.37278532961438,"EI"
"10",2014-03-05,1665,0.00404943469246583,0.000105190639711514,212.529782976423,1.07481495573105,0,0,-1.64388605356216,0.0241260361312777,-0.0117129267110855,0.0913984190560877,-0.193989552274535,0.199085665270686,34.6886319027671,0.00658988109512095,29.1211990969522,13.9809573318098,NA,NA,NA,0,0,0.211072597982763,0.193151988387129,17.1576168628011,0.00426528049303196,"EI"
