"","date","site","chla_1mon","chla_2mon","chla_3mon","chla_4mon","chla_5mon","chla_6mon","productivity_1mon","productivity_2mon","productivity_3mon","productivity_4mon","productivity_5mon","productivity_6mon","salinity_1mon","salinity_2mon","salinity_3mon","salinity_4mon","salinity_5mon","salinity_6mon","temp_1mon","temp_2mon","temp_3mon","temp_4mon","temp_5mon","temp_6mon","EKE_1mon","EKE_2mon","EKE_3mon","EKE_4mon","EKE_5mon","EKE_6mon"
"446",2015-12-17,"KGI",2.8741723034117,1.33825592199961,0.267898480097453,0.14238147644533,0.13106521881289,0.22226998458306,32.3411388397217,8.13873007562425,1.40497835973899,0.282255214949449,0.129159138434463,0.0889519562737809,34.0341041088104,34.1093934641944,34.2374231285519,34.1875759495629,34.1430908309089,33.8766581217448,-1.1425926287969,-1.79025134775374,-1.70565913369258,-1.68976916124423,-1.62150433907906,-1.34956915469633,6.85686472907002,180.427183346232,45.4561292268698,1.40251218776978,9.23089671289597,19.3863437309626
"447",2015-12-18,"KGI",2.23001433412234,1.43683665328556,0.281730947395166,0.144330648084482,0.128673375894626,0.217969808313582,19.0921947161357,13.3661773469713,1.37574873699082,0.392071856392754,0.131073399343424,0.0952221144818597,34.0420514212714,34.1025054719713,34.2393411265479,34.1994335386488,34.1498727268643,33.8949053552416,-1.19429606944323,-1.80782492541605,-1.70704771909449,-1.67339088850551,-1.62240971955988,-1.33959469281965,43.1867388693178,57.9830343962251,31.5033051448452,18.537676010222,18.9713008497658,33.9549659305382
"448",2015-12-19,"KGI",2.1488999625047,1.55968028969235,0.287414566510253,0.147043449597226,0.126956839114428,0.213795011242231,25.906713379754,14.5234558847215,1.06409001184834,0.423665151000023,0.127886332571507,0.109392976802256,34.0493206183116,34.1046460734473,34.242159737481,34.2120010058085,34.1611685752869,33.9192993905809,-1.04858544261919,-1.81466106490956,-1.70233260757393,-1.66230249570476,-1.60895105948051,-1.30195519617862,2.33291896648527,16.8089017835505,2.76215036831068,6.63171287873886,14.6930862195376,1.61956351039029
"449",2015-12-20,"KGI",2.17019203967518,1.68212334977256,0.299996354513698,0.146848277085357,0.124137129634619,0.208638919724358,21.5045609739092,14.8893311288622,1.57791308561961,0.378024669984976,0.097898377933436,0.0609366976552539,34.0506134298113,34.1095524628957,34.2407291465335,34.2236467202504,34.1775194538964,33.9137567414178,-1.08339688885543,-1.80969164189365,-1.7035126603312,-1.66202274544372,-1.58322395301527,-1.34515923344427,20.8552621061629,0.872531455795666,11.834104987226,1.23073308038392,14.8878352195803,50.6527432867122
"450",2015-12-21,"KGI",2.17011144426134,1.82408715618981,0.325829433070289,0.146142368515333,0.121425805820359,0.205820923050245,19.6233541435666,10.1500940322876,2.01367896132999,0.391904192666213,0.0968888571692838,0.168320675690969,34.0520440207587,34.1067759195964,34.2307788001166,34.2323573695289,34.1957886219025,33.9235059420268,-1.03982154818045,-1.81029692292213,-1.73165580795871,-1.66033405810595,-1.55632188750638,-1.3545233309269,39.7051396415203,0.934905132455101,0.37534355227546,2.63014098600116,13.043115386363,45.3356277002194
"451",2015-12-22,"KGI",2.20910408430629,1.91865039534039,0.334325599173705,0.150958394838704,0.120346551967992,0.203720194598039,19.2690241601732,8.97518931494819,2.05336750215954,0.599632602598932,0.121735394001007,0.0682202922180295,34.0501369105445,34.1053030225966,34.2281507915921,34.2377089129554,34.203386677636,33.9366569254133,-0.96933904911081,-1.8019348523683,-1.73181857830948,-1.66440319104327,-1.56175418860383,-1.35883661276764,29.2964515149,9.66660297481499,12.2185396364556,1.57702659889792,0.804030262963312,23.1218912125129
"452",2015-12-23,"KGI",2.18104044927491,2.03320415152444,0.304566736022631,0.162378714316421,0.120010221583976,0.200177968376213,11.6340341038174,12.2318744129605,0.982252885897954,0.841229750050439,0.109013223399719,0.0829323236313131,34.0456017918057,34.1012658278147,34.2382916609446,34.2394892639584,34.2045098940531,33.9476881027222,-0.952564041233725,-1.79558191531234,-1.69152397331264,-1.68153424561024,-1.56975002917979,-1.36665443827709,29.7358939011318,8.23257153055098,9.28640986850657,9.18780207049764,28.0918639074376,46.0746847704937
"453",2015-12-24,"KGI",2.11954240004222,2.15837972693973,0.300130040281349,0.177985105249617,0.118972810606162,0.196760786076387,17.9916013081869,13.56122663286,1.35822680923674,1.0056207742956,0.0626746614774068,0.0802644068996111,34.0389258861542,34.0919727484385,34.2328980233934,34.2336928579542,34.1944111982981,33.9621099895901,-0.935443157537116,-1.78828290353219,-1.68605098293887,-1.71482485367192,-1.6116824630234,-1.37145093000597,47.8818167122802,10.8925961260901,7.28790055727478,12.9251848455175,61.2737002876487,62.473422881444
"454",2015-12-25,"KGI",2.0989441772302,2.30151671833462,0.315284615589513,0.19200930909978,0.118042414800988,0.194556987120046,18.9896096653408,17.8254680103726,0.909186879793803,0.751218772596783,0.124373131328159,0.140200845483277,34.0312748750051,34.0402710172865,34.2348160213894,34.2207008202871,34.180328157213,33.9739253520966,-0.899889097445541,-1.82636492285464,-1.68509982940223,-1.74183373649915,-1.67585271265772,-1.39540287686719,77.901234377097,26.6073389458631,10.2101689640098,41.403685880133,6.69819706480817,26.3366925092011
"455",2015-12-26,"KGI",2.08059179617299,2.44502011272642,0.327670993904273,0.201302179859744,0.118190308411916,0.192568668888675,11.8545537127389,15.5794479582045,1.65897563762135,0.691027232342296,0.167345991565122,0.11862541652388,34.0286467870077,34.0090742111206,34.2250354290009,34.1953854560852,34.1949727270338,33.9952670203315,-0.885753942032655,-1.82002215418551,-1.71830904566579,-1.78196557528443,-1.63709929337104,-1.39665921860271,64.7609029303183,35.3963011926615,13.1663544322336,5.52340398815257,1.15701425891078,5.12719478024277
