"date","EKE_mean","EKE_median","EKE_MAD"
2010-01-01,203.777062260272,83.6537052674941,115.656953388889
2010-01-02,177.047363422211,66.3626423309472,93.3449605188906
2010-01-03,175.20699981819,68.1695224282533,88.9137767129952
2010-01-04,207.507447897405,91.2071966522807,106.242234458452
2010-01-05,166.530051095189,90.1621870911208,101.841421803427
2010-01-06,156.65084793084,80.0893185847467,108.528940913547
2010-01-07,172.046464934455,87.9566781828199,116.029785927362
2010-01-08,156.647071873506,72.6755358067811,91.5954125337618
2010-01-09,144.620688983553,76.0704117536213,93.8890231696431
2010-01-10,144.179999124187,70.3359109566187,86.5138365992013
2010-01-11,158.900533319767,75.5553634825809,92.9914688797317
2010-01-12,148.389679987761,90.7284583765742,88.7342571574591
2010-01-13,136.678158131064,95.6480135396994,80.0306878444354
2010-01-14,148.259139161428,79.0461759662282,87.9444177427766
2010-01-15,176.157055668407,35.7398236580013,46.2050610746006
2010-01-16,180.586249428897,38.7332791454079,53.0817642651271
2010-01-17,193.825939795116,48.9439869057272,66.1295328171105
2010-01-18,207.634032531121,54.3413321958197,72.9509989710753
2010-01-19,212.992537745073,71.2076857080625,99.1722142396144
2010-01-20,203.226855319269,83.0417842142829,111.720105030265
2010-01-21,214.313969476484,129.988894362134,137.116942618792
2010-01-22,216.097987870215,88.0237375009809,105.123733792145
2010-01-23,215.807054534747,70.7531650480782,95.0033846682823
2010-01-24,259.638183239236,97.0618531138935,117.84287364091
2010-01-25,246.412560368177,77.2914537644151,103.879573216017
2010-01-26,281.476353870109,72.289009300562,95.762851448791
2010-01-27,256.89182663118,67.0006412575317,91.3551427205829
2010-01-28,212.285668066893,70.2949281589163,83.7672967223561
2010-01-29,194.963853465712,138.877056854021,143.355693416356
2010-01-30,199.165355455684,87.026232314822,93.2262173810816
2010-01-31,215.908098764266,73.7373085944477,93.8531195821658
2010-02-01,203.267536054006,69.4818360294858,89.1733789807704
2010-02-02,184.476261837394,108.186239161365,101.087463692953
2010-02-03,208.230366359122,91.3841564339586,97.0097801732036
2010-02-04,215.868833544118,173.394908497462,111.98800355101
2010-02-05,268.848334702434,236.201536430626,149.881639488836
2010-02-06,214.604251369953,110.661845679544,100.144347443034
2010-02-07,188.860439959141,62.3213894084601,71.1310250618
2010-02-08,191.457622865673,115.440759571729,97.4640954182902
2010-02-09,169.261108808877,95.5679131929502,92.8823790914471
2010-02-10,177.268604626054,123.698363383173,107.523669068346
2010-02-11,136.965757623846,37.9918963188621,50.9386575628838
2010-02-12,122.363444542413,25.2804290433241,33.4016957219494
2010-02-13,104.732558258664,35.322564461847,44.3740365689098
2010-02-14,94.2691833438962,49.695613462014,52.185581955375
2010-02-15,96.4881913664725,44.3038561983161,50.5533990598347
2010-02-16,127.345939462557,16.6055636595984,21.660219001709
2010-02-17,167.303510764136,31.4768988412019,39.7633345896476
2010-02-18,138.920806081644,22.9035500509874,27.5164576837674
2010-02-19,120.024723906782,22.8355605926319,29.4179080461819
2010-02-20,117.55934688748,30.0751727930168,38.4791318483251
2010-02-21,94.0146849659936,34.1453023656983,46.6579863881807
2010-02-22,105.954429398379,49.8166925136145,54.1477880535425
2010-02-23,103.544727177798,37.0772832870578,50.0687161024459
2010-02-24,179.777027209517,84.6903330505496,116.274198700746
2010-02-25,130.090938395411,52.9377414901687,68.0779301491675
2010-02-26,191.79503417492,88.0032399116926,122.003389075347
2010-02-27,196.611611569737,94.9532050616503,121.09065623041
2010-02-28,139.045249189257,83.9266017906217,104.234448297228
2010-03-01,137.815974921192,123.815714177161,122.279564785238
2010-03-02,151.62817688201,71.8922437259044,99.7963556920776
2010-03-03,196.017328447363,76.3740459917955,103.937570883209
2010-03-04,216.762810116189,108.081922699606,132.07126995145
2010-03-05,140.846326514565,51.6598890183878,67.996459359552
2010-03-06,208.304470420917,80.5959889431531,117.541834472552
2010-03-07,136.236508096661,38.6764632386551,56.2342721702062
2010-03-08,185.698051780945,96.5477219427692,121.527002033814
2010-03-09,248.058698977497,196.187635539251,251.252208052651
2010-03-10,180.08411016037,92.4896968577173,128.225561711193
2010-03-11,160.971508500527,80.6397614679282,118.874363967877
2010-03-12,100.381062546465,80.1330910640457,87.1379867323629
2010-03-13,103.859295572203,90.1705719957087,97.1602899220669
2010-03-14,119.077419440342,82.3758551036265,115.335201998431
2010-03-15,150.255850171488,96.666012017653,139.929759644353
2010-03-16,224.868051814099,150.625469226797,167.72929807844
2010-03-17,106.623706803767,89.645261690788,99.2619601114094
2010-03-18,150.548898448076,86.6126948390872,117.308460968536
2010-03-19,195.198735978008,129.587469468778,178.407507072994
2010-03-20,205.856517696399,173.172299937132,231.451981999357
2010-03-21,134.060716127205,94.1130986315781,127.24378367039
2010-03-22,182.015327736993,172.328487248522,214.482592896204
2010-03-23,111.86253304353,66.1959274727583,91.5760779047768
2010-03-24,206.102836627717,137.745430723627,193.718530650967
2010-03-25,191.506510008951,113.824804638047,159.60705628042
2010-03-26,233.185158031818,130.845771806499,174.7316623924
2010-03-27,227.491427543709,131.962492967088,174.197264266517
2010-03-28,206.674460565881,85.8163706770493,114.031681618694
2010-03-29,242.594281583187,114.636044354458,144.972681086559
2010-03-30,285.015729737555,161.149128612093,184.214041256232
2010-03-31,230.456326774397,120.164712812439,153.688689477912
2010-04-01,211.763258028378,99.4964743900282,124.331535043662
2010-04-02,192.709249771268,91.0460564732445,101.200686075172
2010-04-03,196.591351342772,111.039988418078,133.744883005283
2010-04-04,287.554024669854,214.042174588412,209.01297347144
2010-04-05,232.012948748701,157.957292616848,164.318571465628
2010-04-06,203.615289597866,135.244665432941,160.743500262036
2010-04-07,221.229888596842,150.098325290495,180.502280919462
2010-04-08,236.715864051933,156.455917042853,186.170738330395
2010-04-09,227.655615524593,123.431055250249,148.625056706959
2010-04-10,201.104796124002,96.0922823865618,132.283933171773
2010-04-11,280.025244043439,162.260265486698,171.367875754105
2010-04-12,315.19320580613,138.471899246394,149.206391469925
2010-04-13,270.027739255921,113.835981554883,146.124309724972
2010-04-14,287.957188591348,121.545008595847,149.684173786229
2010-04-15,342.243561301616,176.681745625458,201.142050667134
2010-04-16,178.491029552751,69.0217365861288,90.4520611856276
2010-04-17,229.884340661057,113.854616362595,135.131254430956
2010-04-18,221.046665408764,117.967587785513,150.656312602605
2010-04-19,138.127643840493,58.4543037096897,77.9303914051032
2010-04-20,97.5284581836706,39.2995574682911,40.2411175127583
2010-04-21,117.528072852386,49.9871352656063,58.1992383259098
2010-04-22,182.771599724878,106.682984945996,144.504552844575
2010-04-23,243.377881221476,147.353533294088,184.785715944239
2010-04-24,161.008707348096,79.6068616923662,110.234303385594
2010-04-25,124.943491139532,48.0014308883226,60.9250596260461
2010-04-26,110.35332154924,85.387931846861,83.7742032460884
2010-04-27,98.4124690886425,46.256958839753,59.0457072875862
2010-04-28,184.542321685814,96.7908195997224,126.569916649451
2010-04-29,196.116005085723,86.2820603410241,121.489722218535
2010-04-30,117.613570596418,61.7253082288724,67.3377903620005
2010-05-01,130.715291683054,39.4774466284387,51.7851268616747
2010-05-02,122.684853803942,37.6323854207232,48.7209936910174
2010-05-03,146.159152004046,40.5196602891419,56.2536000737569
2010-05-04,97.8804425328006,49.7915437344849,55.5065550944598
2010-05-05,137.500019438535,62.0950638003819,77.9414352592288
2010-05-06,177.753151942582,81.4435465904811,104.097754596148
2010-05-07,131.65599878645,41.8077593556596,59.6601913788625
2010-05-08,183.134060989365,63.6672351131147,81.1063777758705
2010-05-09,348.106714526813,185.327740873444,216.084380688888
2010-05-10,346.555785383714,182.660258359811,226.230934776227
2010-05-11,203.138614204788,53.7489734642695,75.5332109105968
2010-05-12,121.450909018684,50.1026261316457,60.2677736322981
2010-05-13,126.827425653057,41.0989823691809,51.2410729758991
2010-05-14,181.369846361699,55.1693304433277,70.4060711113318
2010-05-15,218.941243248978,92.4990156315417,117.946423980605
