"date","chla_mean","o2_mean","productivity_mean","temp_mean","zos_mean","salinity_mean","mixed_layer_mean","siconc_mean","sithick_mean","u_mean","v_mean","EKE_mean","EKE_mad"
2016-07-19,0.179142854290038,355.494430914158,0.173104344333363,-1.44329899959719,-1.64851185908684,34.1079906561436,46.464535875359,0.0955516073139264,0.141881535115141,0.206368549567284,0.0128894368998515,313.934862103841,234.622453817441
2016-07-20,0.177342998908787,356.117379909608,0.114070288836956,-1.44780931403602,-1.6525431026814,34.1028734379613,45.4157451611621,0.109437529928982,0.170337664149093,0.205057201240911,0.0282516556008946,319.043482578995,227.883841760298
2016-07-21,0.176392916226532,356.766990103373,0.20376498268054,-1.47220929318916,-1.65349737449214,34.092579088713,41.1800148213601,0.0441200972450839,0.0815149861278001,0.194608420993273,0.0329179809492851,303.236472073835,196.825467881629
2016-07-22,0.179058786935923,357.018194431212,0.371201706141597,-1.5016296320116,-1.66176166756433,34.1035899781344,53.5750194619059,0.055044363583369,0.264637898045432,0.2037639742599,0.0655509576844944,335.022328749914,210.454621089524
2016-07-23,0.182414042786127,356.906691760552,0.335311165488348,-1.50440323360858,-1.65655992935222,34.1232107370971,68.105496120839,0.0916956108674286,0.436802859107653,0.123054254458219,0.0937589565681623,224.843753079901,132.132026091741
2016-07-24,0.183316281201636,356.088558662228,0.301038083779376,-1.48636197303793,-1.65002337013662,34.139800289221,82.8365466971146,0.125391175448844,0.457478017137762,0.123901029789818,0.0915382303971189,224.829659600224,131.549300099377
2016-07-25,0.181249856767131,354.63101791754,0.27029697124551,-1.44983465348178,-1.6499204061292,34.1571375014167,100.218300915923,0.154672109709195,0.457318423338506,0.137223738930647,0.0984285765009531,253.303170528032,144.714455653392
2016-07-26,0.181077621786333,353.718668867902,0.308256752516438,-1.42406467717347,-1.65191749216896,34.1687847400001,109.65082673087,0.181354234614705,0.456864351685713,0.13003932755546,0.0907911242723626,241.885313858488,135.048421825183
2016-07-27,0.179834186394767,352.854214179807,0.201757913046494,-1.42603861891467,-1.66993329882139,34.1740894497808,94.0808259691143,0.17286799872054,0.390101507963429,0.158955718552777,0.130286441072721,326.181815898508,187.871979350142
2016-07-28,0.179507746838215,352.938936931331,0.231789176057025,-1.44333062826702,-1.67259100332917,34.1700305501137,78.3193127816184,0.123521952301243,0.261491547073133,0.170464614861206,0.112047821906736,331.1926073344,195.632418422995
2016-07-29,0.181069567163543,353.454457352801,0.21415483506351,-1.4714847558584,-1.66884517782291,34.1661796672785,67.0299349384591,0.109643375543749,0.23628587580575,0.173209221392629,0.0571713411625017,297.332083110118,174.320147330501
2016-07-30,0.183613834675492,353.643159447647,0.344546701668239,-1.49949555800833,-1.66786907752033,34.1665585423932,66.5801882505739,0.1103154537799,0.268962382811515,0.11755021406129,0.0651621659023639,218.667348614956,115.012082352928
2016-07-31,0.185619201965448,353.324809004621,0.392444283406182,-1.49098398481143,-1.65553605781715,34.1748966005971,77.4727431373236,0.115059465280509,0.327816566686157,0.13869735838873,0.0816973494654886,248.990576443377,137.73279631357
2016-08-01,0.179826283781994,351.656102994593,0.26581687820939,-1.45002147229577,-1.66421221013655,34.18416545523,84.8795570072375,0.117213368090938,0.235713270575804,0.195264919144422,0.130151352212939,390.305430416026,217.328520347062
2016-08-02,0.173373884089836,349.740525408489,0.29542220994921,-1.37029279227521,-1.67729398435266,34.2067412557872,101.111409770332,0.135830225162811,0.288751021080352,0.144095139947497,0.142423829307601,329.312286406014,206.325844622751
2016-08-03,0.170629178151125,349.257017926472,0.143302878864655,-1.37190990481782,-1.67199422698594,34.2099723249634,96.5789372563845,0.158693778219252,0.273341439034684,0.173996689745732,0.0583121813934261,287.816324080698,171.072371415868
2016-08-04,0.168017628261956,349.266302713534,0.144663430523218,-1.40517137134284,-1.6602312131771,34.2016652888454,81.041473148001,0.195498349466989,0.260684901448322,0.151179058560234,0.0761982520914029,269.67436813724,163.930556731292
2016-08-05,0.168498495548237,349.474799179449,0.333683058392347,-1.45280001713679,-1.64377551957181,34.1890150628753,59.3031091895985,0.185724669310888,0.284220160503788,0.135657863246526,0.0148441039287207,218.844263560859,135.680849080066
2016-08-06,0.173338842010353,350.057873609589,0.540872952287517,-1.49915256698122,-1.63828877784945,34.1723329592974,36.8798289221791,0.215292132366379,0.284159340381545,0.172563431580902,0.00753531229459805,281.203861158765,179.59227694897
2016-08-07,0.175877700128206,350.508534129073,0.298341485012959,-1.51537803334263,-1.64509263453696,34.1591762846459,34.566229234662,0.22109632516203,0.292538408749746,0.174676251485843,0.00283356742397976,293.717044258664,196.405707369915
2016-08-08,0.177999953035174,350.66700484113,0.573182229861254,-1.52214400062033,-1.65402743143913,34.1600842907039,44.529225703354,0.146332082541298,0.234928685056948,0.184020433982133,0.063938954143751,338.318947785088,222.026213804106
2016-08-09,0.184021853001379,350.830298447027,0.58696143756189,-1.54328801347177,-1.65751831975543,34.1611180685149,48.8831586812028,0.110613894641937,0.257905086009749,0.140185805256309,0.0540165263209266,262.106717019681,170.486866571835
2016-08-10,0.180195324758931,348.508352512267,0.455455676811497,-1.43776958842992,-1.66722740480292,34.1977195688266,91.038859945238,0.142937464990204,0.42693994394359,0.108760389495596,0.138728659936854,307.01246138226,183.685174808449
2016-08-11,0.180204821614231,347.211646847609,0.439948623772801,-1.38100071040242,-1.66193918033167,34.2147806916642,108.751951717011,0.179899097040708,0.439960762757843,0.0885432153869817,0.0654026894162782,222.147588350164,131.447129847445
2016-08-12,0.183043550063924,346.534264913419,0.449756592512131,-1.39951049847159,-1.64874743868304,34.2117720538305,109.036338108593,0.18120164194681,0.444246121826764,0.043033981502217,0.0252533458002344,174.475173561881,68.932687273066
2016-08-13,0.183003675283455,345.514366708151,0.311875800920151,-1.41797283601503,-1.63733162233221,34.2133494337239,107.714281095023,0.209741133121917,0.451376374353442,0.0244963548966908,0.0713342358175962,183.999521641909,80.2364328262975
2016-08-14,0.18177871115324,345.053525599038,0.23776440393952,-1.4343604106813,-1.63137907200014,34.2151060168721,97.0152984366887,0.269186226115656,0.458664160629033,0.0519242990113463,0.0969566044104807,211.310774288719,91.4380017561326
2016-08-15,0.183507747493866,345.266776480326,0.323968404124593,-1.45992577815989,-1.63889337889096,34.2115477331576,88.8516995755606,0.293539152807442,0.461291800405172,0.0345637564737144,0.0627841108784019,164.537734440537,61.268897527999
2016-08-16,0.186483283141037,345.231497787848,0.363957924132303,-1.47980951538935,-1.64384264839806,34.2125074873086,87.4165883984482,0.340100781587374,0.476537669839164,0.0268151028466369,0.0645592092572838,149.200633440734,52.0419643523108
2016-08-17,0.191392931542019,345.005958743212,0.525850619552884,-1.51019656062931,-1.64185297456991,34.2092394912452,84.2409747647531,0.366382171091964,0.483825457321327,0.0951337310738168,0.037903082651286,174.942987634328,76.381062977211
2016-08-18,0.198673846699843,344.867641542016,0.630815076482732,-1.52343096488561,-1.6441540113184,34.2091818692391,83.3466298712088,0.412094964229787,0.489592466880435,0.10882052041178,0.0434672535622088,183.96499199299,80.8605623617635
2016-08-19,0.205407532068287,344.353636578816,0.551430199840447,-1.53621167258212,-1.64673387666463,34.2082427638745,81.2774667418116,0.459941584300174,0.493503037211705,0.0939418205315204,0.0297697557340025,157.733239574078,60.0924015374456
2016-08-20,0.206196576992913,343.342167179759,0.487834908159041,-1.53003977007872,-1.64826392130009,34.2111236839964,82.515505075133,0.530202881899359,0.499418315416084,0.0462859940392125,0.028551486585988,112.701902056856,33.4831650114055
