"Day","Pm","BW29","Oo","Gm","BW37","BW58","Site"
2016-06-15,5,0,0,0,0,0,"CI"
2016-06-16,0,0,0,0,0,0,"CI"
2016-06-17,0,0,0,0,0,0,"CI"
2016-06-18,0,0,0,0,0,0,"CI"
2016-06-19,0,0,0,0,0,0,"CI"
2016-06-20,0,0,0,0,0,0,"CI"
2016-06-21,5,0,0,0,0,0,"CI"
2016-06-22,5,0,0,0,0,0,"CI"
2016-06-23,0,0,0,0,0,0,"CI"
2016-06-24,0,0,0,0,0,0,"CI"
2016-06-25,0,0,0,0,0,0,"CI"
2016-06-26,0,0,0,115,0,0,"CI"
2016-06-27,5,0,0,0,0,0,"CI"
2016-06-28,0,0,0,20,0,0,"CI"
2016-06-29,5,0,0,140,0,0,"CI"
2016-06-30,0,0,0,0,0,0,"CI"
2016-07-01,0,0,0,0,0,0,"CI"
2016-07-02,5,0,0,0,0,0,"CI"
2016-07-03,10,0,0,0,0,0,"CI"
2016-07-04,10,0,0,0,0,0,"CI"
2016-07-05,0,0,0,0,0,0,"CI"
2016-07-06,0,0,0,40,0,0,"CI"
2016-07-07,0,0,0,0,0,0,"CI"
2016-07-08,15,0,0,0,0,0,"CI"
2016-07-09,10,0,0,0,0,0,"CI"
2016-07-10,10,0,0,0,0,0,"CI"
2016-07-11,0,0,0,0,0,0,"CI"
2016-07-12,10,0,0,0,0,0,"CI"
2016-07-13,25,0,0,0,0,0,"CI"
2016-07-14,10,0,0,0,0,0,"CI"
2016-07-15,10,0,0,0,0,0,"CI"
2016-07-16,10,0,0,0,0,0,"CI"
2016-07-17,445,0,35,0,0,0,"CI"
2016-07-18,10,0,0,200,0,0,"CI"
2016-07-19,0,0,0,0,0,0,"CI"
2016-07-20,5,0,0,0,0,0,"CI"
2016-07-21,10,0,0,75,0,0,"CI"
2016-07-22,15,0,0,10,0,0,"CI"
2016-07-23,5,0,0,0,0,0,"CI"
2016-07-24,5,0,0,0,0,0,"CI"
2016-07-25,0,0,0,0,0,0,"CI"
2016-07-26,5,0,0,0,0,0,"CI"
2016-07-27,5,0,0,0,0,0,"CI"
2016-07-28,0,0,0,0,0,0,"CI"
2016-07-29,0,0,0,0,0,0,"CI"
2016-07-30,0,0,0,0,0,0,"CI"
2016-07-31,0,0,0,0,0,0,"CI"
2016-08-01,0,0,0,0,0,0,"CI"
2016-08-02,5,0,0,0,0,0,"CI"
2016-08-03,15,0,0,0,0,0,"CI"
2016-08-04,0,0,0,0,0,0,"CI"
2016-08-05,0,0,0,0,0,0,"CI"
2016-08-06,10,0,0,25,0,0,"CI"
2016-08-07,5,0,0,0,0,0,"CI"
2016-08-08,5,10,0,5,0,0,"CI"
2016-08-09,0,0,0,0,0,0,"CI"
